SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,790 7th Ave #402,San Francisco,CA,94118,949000,2,2.0,Inner Richmond,1120,,1981,38,847,475,Active,,,http://www.redfin.com/CA/San-Francisco/790-7th-Ave-94118/unit-402/home/1155270,San Francisco MLS,510367,N,Y,37.7738314,-122.464604
MLS Listing,,Multi-Family (2-4 Unit),541-543 37th Ave,San Francisco,CA,94121,1695000,5,3.0,Outer Richmond,2825,3000,1912,38,600,,Active,,,http://www.redfin.com/CA/San-Francisco/541-37th-Ave-94121/home/1756556,San Francisco MLS,510361,N,Y,37.7786013,-122.4978554
MLS Listing,,Condo/Co-op,1515 Union Unit 5F,San Francisco,CA,94123,1350000,1,1.0,Cow Hollow,783,,2020,39,1724,900,Active,,,http://www.redfin.com/CA/San-Francisco/1515-Union-St-94123/unit-5F/home/173779896,San Francisco MLS,510314,N,Y,37.7983371,-122.4243729
MLS Listing,,Multi-Family (2-4 Unit),320-322 Frederick St,San Francisco,CA,94117,1800000,2,4.0,Parnassus/Ashbury Heights,2750,2750,1908,39,655,,Active,,,http://www.redfin.com/CA/San-Francisco/320-Frederick-St-94117/home/1920844,San Francisco MLS,509583,N,Y,37.7671762,-122.4486301
MLS Listing,,Multi-Family (5+ Unit),190-198 8th St,San Francisco,CA,94103,2350000,4,,South of Market,5260,4500,1920,39,447,,Active,,,http://www.redfin.com/CA/San-Francisco/190-8th-St-94103/home/173776462,San Francisco MLS,510320,N,Y,37.7762588,-122.4119816
MLS Listing,,Single Family Residential,216 Yerba Buena Ave,San Francisco,CA,94127,1625000,2,2.0,Monterey Heights,1548,3933,1927,40,1050,,Active,,,http://www.redfin.com/CA/San-Francisco/216-Yerba-Buena-Ave-94127/home/1985530,San Francisco MLS,510315,N,Y,37.7348364,-122.4603689
MLS Listing,,Single Family Residential,70 Levant St,San Francisco,CA,94114,1825000,2,2.0,Corona Heights,1273,3902,1929,40,1434,,Active,,,http://www.redfin.com/CA/San-Francisco/70-Levant-St-94114/home/1446136,San Francisco MLS,510272,N,Y,37.763892,-122.442297
MLS Listing,,Condo/Co-op,3620 Cesar Chavez St #202,San Francisco,CA,94110,1075000,2,2.0,Inner Mission,1112,,2020,40,967,562,Active,,,http://www.redfin.com/CA/San-Francisco/3620-Cesar-Chavez-94110/unit-202/home/170569913,San Francisco MLS,510296,N,Y,37.7483761,-122.4219282
MLS Listing,,Condo/Co-op,355 Bryant St #403,San Francisco,CA,94107,1498000,1,1.5,South Beach,1545,,1917,40,970,646,Active,,,http://www.redfin.com/CA/San-Francisco/355-Bryant-St-94107/unit-403/home/12396206,San Francisco MLS,509964,N,Y,37.7835506,-122.3924215
MLS Listing,,Condo/Co-op,2001 Mcallister St #224,SAN FRANCISCO,CA,94118,1180000,2,2.0,SAN FRANCISCO,1021,,2002,42,1156,811,Active,,,http://www.redfin.com/CA/San-Francisco/2001-McAllister-St-94118/unit-224/home/12399751,MLSListings,ML81821144,N,Y,37.7763812,-122.4456902
